sponsor,total_trials,completed,terminated,avg_enrollment,sponsor_category,completion_rate,termination_rate
Aydin Adnan Menderes University,32,31,0,67.0,Academic,96.9,0.0
Universitätsklinikum Hamburg-Eppendorf,32,29,3,297.0,Other,90.6,9.4
University of Malaya,32,31,0,166.0,Academic,96.9,0.0
BeiGene,32,21,3,159.0,Large Pharma,65.6,9.4
Boston University,32,21,5,302.0,Academic,65.6,15.6
Roswell Park Cancer Institute,32,14,9,29.0,Academic,43.8,28.1
Kaohsiung Medical University Chung-Ho Memorial Hospital,32,32,0,106.0,Academic,100.0,0.0
Cukurova University,32,31,0,67.0,Academic,96.9,0.0
Minia University,31,31,0,104.0,Academic,100.0,0.0
Inonu University,31,29,0,88.0,Academic,93.5,0.0
Yuzuncu Yil University,31,31,0,65.0,Academic,100.0,0.0
"University of California, Irvine",31,19,3,11784.0,Academic,61.3,9.7
Université de Sherbrooke,31,29,1,87.0,Academic,93.5,3.2
"University Hospital, Rouen",31,22,8,85.0,Academic,71.0,25.8
"Post Graduate Institute of Medical Education and Research, Chandigarh",31,30,0,188.0,Academic,96.8,0.0
University of Nottingham,31,30,0,84.0,Academic,96.8,0.0
National Cheng-Kung University Hospital,31,28,1,76.0,Academic,90.3,3.2
Masimo Corporation,31,21,9,108.0,Biotech,67.7,29.0
Kafrelsheikh University,30,28,0,156.0,Academic,93.3,0.0
Taipei Medical University,30,28,2,88.0,Academic,93.3,6.7
Federico II University,30,24,1,84.0,Academic,80.0,3.3
"Otsuka Pharmaceutical Development & Commercialization, Inc.",30,29,1,112.0,Large Pharma,96.7,3.3
LEO Pharma,30,26,3,195.0,Large Pharma,86.7,10.0
Fudan University,30,20,1,192.0,Academic,66.7,3.3
Hospital de Clinicas de Porto Alegre,29,25,2,90.0,Hospital and Health System,86.2,6.9
Queen Mary University of London,29,23,2,93.0,Academic,79.3,6.9
University of South Carolina,29,25,1,365.0,Academic,86.2,3.4
University of Michigan Rogel Cancer Center,29,17,4,44.0,Academic,58.6,13.8
Wayne State University,29,21,3,66.0,Academic,72.4,10.3
University of Edinburgh,29,23,2,514.0,Academic,79.3,6.9
Abbott Medical Devices,29,21,0,357.0,Large Pharma,72.4,0.0
University of Saskatchewan,29,24,2,60.0,Academic,82.8,6.9
Kasr El Aini Hospital,29,28,0,73.0,Hospital and Health System,96.6,0.0
Beijing Tiantan Hospital,29,28,0,465.0,Hospital and Health System,96.6,0.0
"University Hospital, Angers",29,27,2,576.0,Academic,93.1,6.9
"Second Affiliated Hospital, School of Medicine, Zhejiang University",29,25,1,269.0,Academic,86.2,3.4
"University Hospital, Brest",29,22,5,118.0,Academic,75.9,17.2
Kutahya Health Sciences University,29,29,0,57.0,Biotech,100.0,0.0
Erasmus Medical Center,29,21,1,154.0,Hospital and Health System,72.4,3.4
"CooperVision, Inc.",29,29,0,47.0,Large Pharma,100.0,0.0
University of Exeter,29,23,1,34.0,Academic,79.3,3.4
Universitair Ziekenhuis Brussel,28,16,9,56.0,Other,57.1,32.1
Albert Einstein College of Medicine,28,20,3,209.0,Academic,71.4,10.7
McGill University,28,24,3,136.0,Academic,85.7,10.7
Mersin University,28,27,0,84.0,Academic,96.4,0.0
MedImmune LLC,28,23,1,189.0,Other,82.1,3.6
Centre for Addiction and Mental Health,28,24,0,839.0,Hospital and Health System,85.7,0.0
Shire,27,18,6,89.0,Large Pharma,66.7,22.2
King Saud University,27,27,0,40.0,Academic,100.0,0.0
Odense University Hospital,27,20,1,1646.0,Academic,74.1,3.7
Kahramanmaras Sutcu Imam University,27,27,0,68.0,Academic,100.0,0.0
Cliniques universitaires Saint-Luc- Université Catholique de Louvain,27,23,2,82.0,Academic,85.2,7.4
Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),27,21,2,359.0,Other,77.8,7.4
Leiden University Medical Center,27,20,1,116.0,Academic,74.1,3.7
Laval University,27,24,2,60.0,Academic,88.9,7.4
Unity Health Toronto,27,21,2,168.0,Hospital and Health System,77.8,7.4
Colorado State University,27,22,2,68.0,Academic,81.5,7.4
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",27,15,8,101.0,Large Pharma,55.6,29.6
Hanmi Pharmaceutical Company Limited,27,26,1,113.0,Large Pharma,96.3,3.7
Menoufia University,27,24,0,101.0,Academic,88.9,0.0
Daiichi Sankyo,26,17,3,281.0,Large Pharma,65.4,11.5
Dow University of Health Sciences,26,25,0,73.0,Biotech,96.2,0.0
George Washington University,26,20,4,498.0,Academic,76.9,15.4
Eastern Mediterranean University,26,26,0,54.0,Academic,100.0,0.0
"Institut National de la Santé Et de la Recherche Médicale, France",26,21,1,278.0,Hospital and Health System,80.8,3.8
University of Iowa,26,17,3,52.0,Academic,65.4,11.5
University Medical Centre Ljubljana,26,20,2,54.0,Academic,76.9,7.7
Peking Union Medical College Hospital,26,22,0,139.0,Academic,84.6,0.0
UCB Biopharma SRL,26,19,4,199.0,Large Pharma,73.1,15.4
London School of Hygiene and Tropical Medicine,26,23,3,654.0,Academic,88.5,11.5
Akeso,26,15,2,155.0,Other,57.7,7.7
"Dong-A ST Co., Ltd.",26,25,0,138.0,Biotech,96.2,0.0
Chulalongkorn University,26,25,0,81.0,Academic,96.2,0.0
"Institute of Hematology & Blood Diseases Hospital, China",25,12,5,36.0,Academic,48.0,20.0
University of Manchester,25,21,1,1589.0,Academic,84.0,4.0
University of Delaware,25,25,0,44.0,Academic,100.0,0.0
Göteborg University,25,21,2,153.0,Academic,84.0,8.0
Sohag University,25,22,0,107.0,Academic,88.0,0.0
University of Vermont,24,22,1,145.0,Academic,91.7,4.2
"The University of Texas Medical Branch, Galveston",24,12,6,94.0,Academic,50.0,25.0
Hams Hamed Abdelrahman,24,24,0,25.0,Other,100.0,0.0
Seoul National University Bundang Hospital,24,24,0,126.0,Academic,100.0,0.0
Coloplast A/S,24,24,0,30.0,Other,100.0,0.0
Seattle Children's Hospital,24,19,2,130.0,Hospital and Health System,79.2,8.3
Shirley Ryan AbilityLab,24,16,1,47.0,Other,66.7,4.2
"ModernaTX, Inc.",24,19,1,1958.0,Large Pharma,79.2,4.2
Biruni University,24,24,0,62.0,Academic,100.0,0.0
Jonsson Comprehensive Cancer Center,24,6,7,80.0,Hospital and Health System,25.0,29.2
Vastra Gotaland Region,24,18,0,215.0,Other,75.0,0.0
Lakefront Biotherapeutics NV,24,18,6,82.0,Biotech,75.0,25.0
Penn State University,24,20,1,78.0,Academic,83.3,4.2
Aalborg University,24,24,0,56.0,Academic,100.0,0.0
Kocaeli University,24,24,0,61.0,Academic,100.0,0.0
West Virginia University,24,13,3,33.0,Academic,54.2,12.5
University of Lahore,23,23,0,66.0,Academic,100.0,0.0
Chiesi Farmaceutici S.p.A.,23,16,5,194.0,Large Pharma,69.6,21.7
Children's Hospital of Fudan University,23,16,2,645.0,Academic,69.6,8.7
Region Skane,23,17,2,4865.0,Government and Public Health,73.9,8.7
Virginia Polytechnic Institute and State University,23,21,1,93.0,Academic,91.3,4.3
"University Hospital, Caen",23,18,3,128.0,Academic,78.3,13.0
Baskent University,23,23,0,61.0,Academic,100.0,0.0
St. Jude Children's Research Hospital,23,7,6,43.0,Hospital and Health System,30.4,26.1
National University of Singapore,23,21,0,232.0,Academic,91.3,0.0
Helsinki University Central Hospital,23,18,2,91.0,Academic,78.3,8.7
Universidad Complutense de Madrid,23,22,1,58.0,Academic,95.7,4.3
Izmir Katip Celebi University,23,22,1,65.0,Academic,95.7,4.3
University of South Florida,23,17,2,112.0,Academic,73.9,8.7
University of Southern Denmark,23,19,2,8836.0,Academic,82.6,8.7
"Hospital for Special Surgery, New York",23,11,4,77.0,Hospital and Health System,47.8,17.4
"Boryung Pharmaceutical Co., Ltd",23,22,0,59.0,Large Pharma,95.7,0.0
Changhai Hospital,23,20,1,401.0,Hospital and Health System,87.0,4.3
Tufts Medical Center,23,14,5,69.0,Hospital and Health System,60.9,21.7
National Yang Ming Chiao Tung University,23,22,1,61.0,Academic,95.7,4.3
Temple University,23,15,3,127.0,Academic,65.2,13.0
KTO Karatay University,22,22,0,52.0,Academic,100.0,0.0
"Kyowa Kirin Co., Ltd.",22,20,2,157.0,Biotech,90.9,9.1
San Diego State University,22,20,0,87.0,Academic,90.9,0.0
Geisinger Clinic,22,20,2,22096.0,Hospital and Health System,90.9,9.1
"University Hospital, Strasbourg, France",22,9,10,110.0,Academic,40.9,45.5
"National University Hospital, Singapore",22,17,0,82.0,Academic,77.3,0.0
West China Hospital,22,18,1,700.0,Hospital and Health System,81.8,4.5
Daewoong Pharmaceutical Co. LTD.,22,21,1,188.0,Large Pharma,95.5,4.5
Vanderbilt University,22,17,2,285.0,Academic,77.3,9.1
Tufts University,22,18,1,272.0,Academic,81.8,4.5
Baylor Research Institute,22,8,7,52.0,Academic,36.4,31.8
Bispebjerg Hospital,22,18,0,179.0,Hospital and Health System,81.8,0.0
University of Thessaly,22,22,0,30.0,Academic,100.0,0.0
University of Nove de Julho,22,21,1,39.0,Academic,95.5,4.5
University of Jordan,22,21,0,97.0,Academic,95.5,0.0
University of Jaén,22,22,0,83.0,Academic,100.0,0.0
University of Illinois at Urbana-Champaign,22,22,0,63.0,Academic,100.0,0.0
Universidad de Granada,22,19,0,1001.0,Academic,86.4,0.0
The Netherlands Cancer Institute,22,7,6,134.0,Academic,31.8,27.3
Universidad de Zaragoza,22,21,0,40.0,Academic,95.5,0.0
PepsiCo Global R&D,22,21,1,115.0,Other,95.5,4.5
Ankara University,21,21,0,71.0,Academic,100.0,0.0
OHSU Knight Cancer Institute,21,11,3,72.0,Academic,52.4,14.3
Ankara Yildirim Beyazıt University,21,20,0,56.0,Academic,95.2,0.0
Hadassah Medical Organization,21,19,1,132.0,Hospital and Health System,90.5,4.8
"Sunshine Lake Pharma Co., Ltd.",21,18,2,107.0,Large Pharma,85.7,9.5
Trakya University,21,20,0,88.0,Academic,95.2,0.0
Hasan Kalyoncu University,21,19,0,46.0,Academic,90.5,0.0
Haukeland University Hospital,21,15,3,143.0,Academic,71.4,14.3
Pennington Biomedical Research Center,21,16,1,68.0,Biotech,76.2,4.8
Aarhus University Hospital,21,15,1,247.0,Academic,71.4,4.8
UNICANCER,21,9,2,240.0,Other,42.9,9.5
Jazz Pharmaceuticals,21,17,3,137.0,Large Pharma,81.0,14.3
Lund University,21,17,2,360.0,Academic,81.0,9.5
CHU de Reims,21,20,1,110.0,Other,95.2,4.8
Stony Brook University,21,15,3,54.0,Academic,71.4,14.3
"Institute of Liver and Biliary Sciences, India",21,17,2,56.0,Biotech,81.0,9.5
Centre Hospitalier Universitaire Dijon,21,14,7,263.0,Academic,66.7,33.3
McGill University Health Centre/Research Institute of the McGill University Health Centre,21,16,4,76.0,Academic,76.2,19.0
Damanhour University,21,21,0,107.0,Academic,100.0,0.0
Northumbria University,21,21,0,59.0,Academic,100.0,0.0
Fox Chase Cancer Center,21,8,5,37.0,Hospital and Health System,38.1,23.8
"National Cancer Institute, Egypt",21,21,0,79.0,Academic,100.0,0.0
Beni-Suef University,21,19,0,95.0,Academic,90.5,0.0
Georgetown University,21,14,5,122.0,Academic,66.7,23.8
Karadeniz Technical University,21,20,0,78.0,Academic,95.2,0.0
Sheffield Teaching Hospitals NHS Foundation Trust,21,19,0,78.0,Hospital and Health System,90.5,0.0
Muğla Sıtkı Koçman University,21,21,0,57.0,Academic,100.0,0.0
Uppsala University,21,19,0,406.0,Academic,90.5,0.0
Hasselt University,20,16,1,618.0,Academic,80.0,5.0
Superior University,20,3,0,55.0,Academic,15.0,0.0
Sahlgrenska University Hospital,20,18,0,117.0,Academic,90.0,0.0
Umeå University,20,16,1,414.0,Academic,80.0,5.0
"Western University, Canada",20,19,0,125.0,Academic,95.0,0.0
Istituto Ortopedico Rizzoli,20,17,1,32.0,Other,85.0,5.0
Swiss Federal Institute of Technology,20,19,0,28.0,Academic,95.0,0.0
Gangnam Severance Hospital,20,19,0,74.0,Hospital and Health System,95.0,0.0
"Masonic Cancer Center, University of Minnesota",20,11,3,40.0,Academic,55.0,15.0
New York University,20,14,1,206.0,Academic,70.0,5.0
Ipsen,20,12,4,121.0,Other,60.0,20.0
Eisai Inc.,20,15,3,87.0,Biotech,75.0,15.0
Tokat Gaziosmanpasa University,20,20,0,108.0,Academic,100.0,0.0
Rambam Health Care Campus,20,13,2,103.0,Hospital and Health System,65.0,10.0
"National Heart, Lung, and Blood Institute (NHLBI)",20,10,4,39.0,Academic,50.0,20.0
Karolinska University Hospital,20,17,2,161.0,Academic,85.0,10.0
Peking University,20,11,5,300.0,Academic,55.0,25.0
Barts & The London NHS Trust,20,15,2,179.0,Government and Public Health,75.0,10.0
BTL Industries Ltd.,20,15,0,28.0,Other,75.0,0.0
October 6 University,20,20,0,47.0,Academic,100.0,0.0
Necmettin Erbakan University,19,19,0,76.0,Academic,100.0,0.0
Eskisehir Osmangazi University,19,19,0,138.0,Academic,100.0,0.0
"Teva Branded Pharmaceutical Products R&D, Inc.",19,9,9,264.0,Large Pharma,47.4,47.4
Sakarya University,19,19,0,84.0,Academic,100.0,0.0
Rabin Medical Center,19,8,6,71.0,Hospital and Health System,42.1,31.6
St. Louis University,19,12,5,121.0,Academic,63.2,26.3
Children's Hospital Los Angeles,19,15,1,112.0,Hospital and Health System,78.9,5.3
Hospital Clinic of Barcelona,19,17,1,180.0,Hospital and Health System,89.5,5.3
Peking University People's Hospital,19,16,1,106.0,Academic,84.2,5.3
University of Glasgow,19,19,0,75.0,Academic,100.0,0.0
University of Leeds,19,18,1,140.0,Academic,94.7,5.3
University of Seville,19,18,1,63.0,Academic,94.7,5.3
"University Hospital, Limoges",19,15,2,108.0,Academic,78.9,10.5
Suez Canal University,19,19,0,38.0,Academic,100.0,0.0
Drexel University,19,14,0,107.0,Academic,73.7,0.0
"Sumitomo Pharma America, Inc.",19,12,6,204.0,Large Pharma,63.2,31.6
"University Hospital, Gentofte, Copenhagen",19,18,0,27.0,Academic,94.7,0.0
Federal University of São Paulo,19,18,1,206.0,Academic,94.7,5.3
Harvard School of Public Health (HSPH),19,18,0,16220.0,Academic,94.7,0.0
Erasme University Hospital,19,13,4,42.0,Academic,68.4,21.1
Idorsia Pharmaceuticals Ltd.,19,18,1,89.0,Large Pharma,94.7,5.3
UConn Health,19,12,3,87.0,Other,63.2,15.8
Pusan National University Yangsan Hospital,19,18,0,74.0,Academic,94.7,0.0
Rhode Island Hospital,19,17,2,61.0,Hospital and Health System,89.5,10.5
King Edward Medical University,19,19,0,85.0,Academic,100.0,0.0
Johnson & Johnson Consumer Inc. (J&JCI),19,17,2,88.0,Large Pharma,89.5,10.5
Nova Scotia Health Authority,19,7,2,87.0,Government and Public Health,36.8,10.5
Khon Kaen University,19,19,0,69.0,Academic,100.0,0.0
Ruijin Hospital,19,9,2,121.0,Hospital and Health System,47.4,10.5
Abant Izzet Baysal University,19,16,0,60.0,Academic,84.2,0.0
Texas Tech University,18,16,0,46.0,Academic,88.9,0.0
Centre Hospitalier Universitaire Vaudois,18,11,4,50.0,Academic,61.1,22.2
Sonova AG,18,17,1,24.0,Other,94.4,5.6
Centre Hospitalier Universitaire de Besancon,18,12,3,150.0,Academic,66.7,16.7
University of Waterloo,18,16,2,102.0,Academic,88.9,11.1
Wageningen University,18,18,0,43.0,Academic,100.0,0.0
Florida International University,18,15,1,111.0,Academic,83.3,5.6
Universidad Rey Juan Carlos,18,17,1,51.0,Academic,94.4,5.6
ViiV Healthcare,18,16,2,126.0,Hospital and Health System,88.9,11.1
Cochlear,18,15,1,42.0,Other,83.3,5.6
Singapore General Hospital,18,13,1,56.0,Hospital and Health System,72.2,5.6
Aalborg University Hospital,18,14,2,80.0,Academic,77.8,11.1
Corewell Health East,18,5,10,38.0,Other,27.8,55.6
National Taipei University of Nursing and Health Sciences,18,17,0,99.0,Biotech,94.4,0.0
Abbott Nutrition,18,12,4,54.0,Large Pharma,66.7,22.2
Cardenal Herrera University,18,17,1,81.0,Academic,94.4,5.6
RWTH Aachen University,18,12,2,303.0,Academic,66.7,11.1
University of Alcala,18,16,0,50.0,Academic,88.9,0.0
Hvidovre University Hospital,18,14,1,54.0,Academic,77.8,5.6
Children's Mercy Hospital Kansas City,18,14,2,527.0,Hospital and Health System,77.8,11.1
Ottawa Heart Institute Research Corporation,18,6,7,79.0,Biotech,33.3,38.9
University of Connecticut,18,13,0,108.0,Academic,72.2,0.0
"Peter MacCallum Cancer Centre, Australia",17,8,1,85.0,Hospital and Health System,47.1,5.9
University of Cincinnati,17,13,0,71.0,Academic,76.5,0.0
Centre Francois Baclesse,17,14,1,68.0,Other,82.4,5.9
Nationwide Children's Hospital,17,12,3,79.0,Hospital and Health System,70.6,17.6
Shanghai Jiao Tong University School of Medicine,17,15,0,1019.0,Academic,88.2,0.0
"Gustave Roussy, Cancer Campus, Grand Paris",17,10,4,230.0,Other,58.8,23.5
"TCI Co., Ltd.",17,16,0,54.0,Biotech,94.1,0.0
European Organisation for Research and Treatment of Cancer - EORTC,17,7,4,164.0,Other,41.2,23.5
Xijing Hospital,17,13,1,219.0,Hospital and Health System,76.5,5.9
Universidad Católica San Antonio de Murcia,17,16,0,98.0,Academic,94.1,0.0
I.M. Sechenov First Moscow State Medical University,17,16,0,395.0,Academic,94.1,0.0
Postgraduate Institute of Dental Sciences Rohtak,17,17,0,62.0,Biotech,100.0,0.0
Amasya University,17,16,0,63.0,Academic,94.1,0.0
Aga Khan University,17,16,0,379.0,Academic,94.1,0.0
Colgate Palmolive,17,16,0,191.0,Other,94.1,0.0
HealthPartners Institute,17,12,2,3730.0,Academic,70.6,11.8
Capital Medical University,17,17,0,108.0,Academic,100.0,0.0
"University Hospital, Antwerp",17,14,1,65.0,Academic,82.4,5.9
Vedic Lifesciences Pvt. Ltd.,17,17,0,73.0,Biotech,100.0,0.0
Babes-Bolyai University,17,17,0,166.0,Academic,100.0,0.0
CSL Behring,17,11,5,67.0,Other,64.7,29.4
Luye Pharma Group Ltd.,17,17,0,97.0,Large Pharma,100.0,0.0
"EMD Serono Research & Development Institute, Inc.",17,10,5,170.0,Biotech,58.8,29.4
Purdue University,17,17,0,68.0,Academic,100.0,0.0
University of Roma La Sapienza,17,16,1,79.0,Academic,94.1,5.9
Alliance for Clinical Trials in Oncology,17,1,4,309.0,Biotech,5.9,23.5
Sheba Medical Center,17,14,1,62.0,Hospital and Health System,82.4,5.9
Spaulding Rehabilitation Hospital,17,12,0,41.0,Hospital and Health System,70.6,0.0
Cumhuriyet University,17,16,0,76.0,Academic,94.1,0.0
Maastricht University,16,14,1,233.0,Academic,87.5,6.2
AdventHealth,16,13,1,69.0,Other,81.2,6.2
University of Erlangen-Nürnberg Medical School,16,14,1,67.0,Academic,87.5,6.2
Institut Curie,16,11,1,255.0,Hospital and Health System,68.8,6.2
Zealand University Hospital,16,14,0,52.0,Academic,87.5,0.0
Philipps University Marburg,16,15,0,140.0,Academic,93.8,0.0
Mario Negri Institute for Pharmacological Research,16,9,5,52.0,Large Pharma,56.2,31.2
Zeng Changhao,16,3,2,25.0,Other,18.8,12.5
"Daiichi Sankyo Co., Ltd.",16,13,2,274.0,Large Pharma,81.2,12.5
Biocad,16,11,0,201.0,Other,68.8,0.0
Heidelberg University,16,12,3,194.0,Academic,75.0,18.8
University of Bath,16,15,0,22.0,Academic,93.8,0.0
St. Olavs Hospital,16,11,2,130.0,Hospital and Health System,68.8,12.5
Boston University Charles River Campus,16,12,0,151.0,Academic,75.0,0.0
"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",16,8,5,138.0,Large Pharma,50.0,31.2
University of Guelph,16,14,0,64.0,Academic,87.5,0.0
"Amsterdam UMC, location VUmc",16,13,1,124.0,Academic,81.2,6.2
Bahçeşehir University,16,16,0,58.0,Academic,100.0,0.0
Universiti Sains Malaysia,16,16,0,86.0,Other,100.0,0.0
Queen's University,16,12,1,201.0,Academic,75.0,6.2
Fayoum University Hospital,16,16,0,99.0,Academic,100.0,0.0
"Ionis Pharmaceuticals, Inc.",16,12,1,103.0,Large Pharma,75.0,6.2
Kirsehir Ahi Evran Universitesi,16,16,0,75.0,Academic,100.0,0.0
Centre Leon Berard,16,7,5,95.0,Hospital and Health System,43.8,31.2
University of Liege,16,14,0,90.0,Academic,87.5,0.0
Tanabe Pharma Corporation,16,14,0,105.0,Large Pharma,87.5,0.0
NHS Greater Glasgow and Clyde,16,13,3,198.0,Government and Public Health,81.2,18.8
University of Bergen,16,14,0,369.0,Academic,87.5,0.0
Zhejiang University,16,12,2,75.0,Academic,75.0,12.5
Maltepe University,16,16,0,70.0,Academic,100.0,0.0
Bausch & Lomb Incorporated,16,14,0,199.0,Large Pharma,87.5,0.0
"University Hospital, Tours",16,13,3,1464.0,Academic,81.2,18.8
Istanbul Medeniyet University,16,16,0,86.0,Academic,100.0,0.0
Population Health Research Institute,16,10,1,918.0,Academic,62.5,6.2
The First Affiliated Hospital with Nanjing Medical University,16,11,2,442.0,Academic,68.8,12.5
University of Central Florida,16,15,0,118.0,Academic,93.8,0.0
The Miriam Hospital,16,14,0,92.0,Hospital and Health System,87.5,0.0
"University Hospital, Geneva",16,12,4,76.0,Academic,75.0,25.0
Hackensack Meridian Health,16,4,10,48.0,Other,25.0,62.5
Peking University First Hospital,16,14,0,352.0,Academic,87.5,0.0
Parc de Salut Mar,16,16,0,314.0,Other,100.0,0.0
Tri-Service General Hospital,16,15,0,48.0,Hospital and Health System,93.8,0.0
Hopital Foch,16,8,5,80.0,Hospital and Health System,50.0,31.2
Fondation Hôpital Saint-Joseph,16,14,1,68.0,Hospital and Health System,87.5,6.2
"Otsuka Pharmaceutical Co., Ltd.",16,15,1,169.0,Large Pharma,93.8,6.2
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",16,10,6,41.0,Large Pharma,62.5,37.5
"Haisco Pharmaceutical Group Co., Ltd.",15,14,0,91.0,Large Pharma,93.3,0.0
